序號,主管機關文件代碼,補習班中文名稱,補習班中文住址,電話,立案日期,立案文號,教室數,教室面積,班舍總面積
1031,6501,臺北市私立健康天才領袖體能發展短期補習班,100中正區羅斯福路2段56號2樓、4樓,02-2396-3177,2010/1/1,北市教社字第09930150700號,5,170.9,282.66
1032,6499,臺北市私立快樂諾貝兒文理短期補習班興隆分班,116文山區興隆路2段275巷1弄18號、20號1樓,29301234,2010/1/1,北市教社字第09930124500號,5,63.19,115.76
1033,6491,愛音悅有限公司附設臺北市私立愛音悅音樂短期補習班,106大安區光復南路346巷52號1樓,27111360,2010/1/15,北市教社字第09839672100號,5,33.27,98.7
1034,6490,臺北市私立金翰文理短期補習班,106大安區信義路2段222號3樓,(02)2321-5222,2010/1/15,北市教社字第09839735600號,3,107.4,169.47
1035,6487,臺北市私立御學文理短期補習班,106大安區和平東路3段70之2號3樓,27372637,2010/1/12,北市教社字第09839555000號,1,35.86,72.38
1036,6486,臺北市私立許靖文理短期補習班,106大安區忠孝東路4段162號5樓,87732161,2010/1/12,北市教社字第09839713400號,3,69.39,104.81
1037,6484,何嘉仁文教事業股份有限公司附設臺北市私立興義文理短期補習班,106大安區信義路4段260號1樓、258號2樓、2樓之1、2樓之2、2樓之3、3樓、3樓之1、3樓之2、3樓之3,27005163,2009/12/1,北市教社字第09839257300號,21,567.08,1069.5
1038,6481,臺北市私立育苗資優文理補習班中央分班,112北投區中央北路1段122號1樓、2樓,28981689,2010/1/1,北市教社字第09839713300號,2,70.58,163.03
1039,6479,臺北市私立存在音樂技藝短期補習班,106大安區愛國東路71號2樓,2393-7738,2010/1/29,北市教社字第09930203400號,3,45.29,77.69
1040,6478,臺北市私立得勝者文理短期補習班,104中山區龍江路377巷22號1樓,2504-7300,2010/1/4,北市教社字第0983961300號,3,56.68,84.16
1041,6476,愛夢悅股份有限公司附設臺北市私立放浪兄弟技藝短期補習班,110信義區基隆路1段143之1號1樓,27488668,2009/12/1,北市教社字第09839457800號,1,98.28,185.13
1042,6475,中華語文國際教育股份有限公司附設臺北市私立世華語文短期補習班忠誠分班,111士林區中山北路7段15號2樓,"02-2871-7588	",2009/12/1,北市教社字第09839395600號,10,67.21,127.66
1043,6473,臺北市私立樂學園文理短期補習班,100中正區新生南路1段126之6號4樓,02-23960578,2009/12/1,北市教社字第09839215100號,2,40.53,93.35
1044,6469,臺北市私立炫揚文理短期補習班,106大安區羅斯福路3段171號7樓,02-23657056,2009/12/1,北市教社字第09839281900號,2,51.73,115.53
1045,6466,中華語文國際教育股份有限公司附設臺北市私立世華語文短期補習班,111士林區中山北路7段13號1樓,02-2871-7588,2009/12/1,北市教社字第09839303000號,11,40.18,106.41
1046,6465,臺北市私立幼兒館美語文理技藝補習班,116文山區木新路2段132號1樓,02-22341515,2009/12/1,北市教社字第09839098000號,2,34.6,78.51
1047,6463,大樹國際文化企業股份有限公司附設臺北市私立新和文理短期補習班,106大安區新生南路3段14之1號1樓、2樓,277557500,2009/12/1,北市教社字第09839238600號,3,71.13,161.66
1048,6462,臺北市私立百菈羅舞蹈技藝短期補習班,106大安區羅斯福路3段293號8樓,926283364,2009/12/1,北市教社字第09839151000號,1,63.2,92.78
1049,6458,臺北市私立戀舞趣舞蹈短期補習班,106大安區忠孝東路3段217巷1弄19號1樓,27729657,2009/12/7,北市教社字第09839162700號,2,135.98,186.27
1050,6453,禾場國際有限公司附設臺北市私立禾場芳香商業短期補習班,106大安區忠孝東路4段191號10樓之1,27112290,2009/11/30,北市教社字第09839076900號,2,67.36,150.58
1051,6452,臺北市私立睿智語文短期補習班一分班,105松山區光復北路230巷23號1樓,27151177,2009/11/1,北市教社字第09839142900號,2,112.47,147.83
1052,6450,宏大文理補習班,106大安區濟南路3段25號2樓,87735726,2009/11/1,北市教社字第09839072400號,2,40.21,141.75
1053,6447,臺北市私立約克皇家英語語文文理短期補習班英格蘭分班,104中山區北安路554巷8弄11號1樓,25332515,2009/11/1,北市教社字第09837529400號,4,58.25,93.97
1054,6442,臺北市私立高明一對一文理短期補習班,114內湖區星雲街15巷15之1號1樓、成功路3段87號1樓,27962045,2009/11/1,北市教社字第09839070400號,3,36.26,72.65
1055,6435,臺北市私立紀芸文理短期補習班,116文山區景興路23巷6弄7號1樓,29329958,2009/11/2,北市教社字第09837278600號,4,49.24,71.63
1056,6428,臺北市私立明爵美術短期補習班,111士林區大東路82之3號1樓,28802770,2009/10/1,北市教社字第09837050600號,1,50.63,71.02
1057,6425,臺北市私立凱德語文短期補習班,100中正區羅斯福路2段68號6樓,23961880,2009/10/5,北市教社字第09836844000號,2,54.81,118.38
1058,6424,臺北市私立立碁文理短期補習班,112北投區致遠二路19號1樓,28206919,2009/10/1,北市教社字第09836749100號,3,37.9,91.2
1059,6418,臺北市私立璟欣音樂文理技藝短期補習班,114內湖區東湖路43巷26弄3號1樓,26319266,2009/9/1,北市教社字第09836775300號,5,44.2,72.9
1060,6410,臺北市私立王欣國文文理短期補習班,110信義區光復南路419號2樓,27229777,2009/9/1,北市教社字第09832827100號,1,46.8,116.68
1061,6408,臺北市私立勤廬文理短期補習班,112北投區光明路218之5號3樓,28948933,2009/9/1,北市教社字第09836602000號,2,39.06,109.82
1062,6407,臺北市私立珼葎音樂技藝短期補習班,111士林區中正路383號2樓,28824688,2009/9/1,北市教社字第09836560700號,7,32.82,132.7
1063,6403,功學社音樂中心股份有限公司附設臺北市私立崧南音樂語文短期補習班,106大安區光復南路612號4樓之2,27016082,2009/9/1,北市教社字第09836723600號,7,40.03,127
1064,6402,仙靖貿易有限公司附設臺北市私立先進音樂技藝短期補習班,106大安區羅斯福路2段41號4樓之2,23962200,2009/9/1,北市教社字第09835286800號,5,48.24,105.74
1065,6399,文城教育股份有限公司附設臺北市私立文城文理短期補習班士林分班,111士林區中正路359號2樓、3樓,(02)2880-2088,2009/9/1,北市教社字第09835307900號,3,106.81,187.94
1066,6394,儒林文教事業股份有限公司附設臺北市私立台北儒林文理短期補習班,100中正區懷寧街60號6樓之1,23613266,2009/8/1,北市教社字第09835183600號,1,161.91,178.3
1067,6392,財團法人人本教育文教基金會附設臺北市私立數學想想國文理短期補習班台大分班,106大安區羅斯福路3段277之8號7樓,27491145,2009/8/1,北市教社字第09835073300號,5,96.69,161.62
1068,6391,臺北市私立尚揚翰升文理短期補習班,104中山區敬業三路162巷3號1樓,85027531#9,2009/8/1,北市教社字第09834980700號,3,36.69,77.59
1069,6381,臺北市私立星亞全腦語文短期補習班,110信義區永吉路115號1樓,27603966,2009/7/1,北市教社字第09834828400號,5,56.16,84.62
1070,6378,臺北市私立本能語文短期補習班,104中山區民權東路3段43號2樓,25082618,2009/7/1,北市教社字第09834852900號,2,38.23,84.67
1071,6369,臺北市私立永九文理語文短期補習班,116文山區景福街242巷4號1樓,29303311,2009/7/1,北市教社字第09833311000號,4,49.51,105.2
1072,6368,臺北市私立愛迪盟設計短期補習班,100中正區重慶南路1段10號9樓之9,23619395,2009/7/13,北市教社字第09833423500號,1,58.79,84.04
1073,6359,臺北市私立陳安如文理短期補習班,106大安區和平東路3段22號1樓、2樓,27380182,2009/6/1,北市教社字第09833345500號,2,78.37,143.06
1074,6355,臺北市私立名家維也納音樂世界短期補習班,116文山區興隆路4段6之7號1樓,02-86617567,2009/6/1,北市教社字第09833077800號,7,35.31,79.77
1075,6353,臺北市私立利群文理短期補習班,116文山區景福街3巷2號1樓,29313940   0935780309 29439051,2009/6/1,北市教社字第09833003900號,3,47.41,83.97
1076,6352,智基科技開發股份有限公司附設臺北市私立松山志光文理法商短期補習班,105松山區八德路4段678號6樓、6樓之2,27667922,2009/6/1,北市教社字第09833027000號,2,105.02,134.56
1077,6344,臺北市私立史蒂芬外國語文短期補習班,106大安區忠孝東路4段2號3樓,27710088,2009/6/1,北市教社字第09832842600號,3,47.65,130.69
1078,6342,臺北市私立第壹音樂才藝短期補習班,106大安區羅斯福路3段183號3樓,23631012,2009/5/1,北市教社字第09832797800號,7,37.18,100.87
1079,6339,臺北市私立凱程文理短期補習班,108萬華區東園街73巷84號1樓及地下1樓,23397996,2009/5/1,北市教社字第09832753700號,4,64.85,125.33
1080,6338,臺北市私立維思敦文理短期補習班,111士林區天母西路5巷11號1樓,28740988,2009/5/1,北市教社字第09831822900號,2,47.76,111.15
1081,6336,學趣文教有限公司附設臺北市私立學趣文理技藝短期補習班,106大安區信義路4段214號2樓,27071668,2009/5/1,北市教社字第09831928100號,3,52.74,87.41
1082,6335,臺北市私立畢達奇文理短期補習班,105松山區南京東路4段120巷29弄14號,25771786,2009/5/1,北市教社字第09831912000號,3,51.5,99.38
1083,6328,臺北市私立優見文理短期補習班,112北投區明德路83號1樓、西安街1段165巷7弄10號1樓,28215757,2009/4/1,北市教社字第09831683500號,4,65.41,182.37
1084,6323,全球文化藝術有限公司附設臺北市私立地球村語文短期補習班大安分班,106大安區復興南路1段323號5樓,27037816,2009/4/1,9831504500,5,85.6,177.71
1085,6320,泰迪貝爾教育股份有限公司附設臺北市私立泰迪文理珠心算短期補習班,116文山區木新路3段155巷3號地下1樓,29383628,2009/4/1,北市教社字第09831372900號,3,47.29,131.89
1086,6317,陳立教育事業股份有限公司附設臺北市私立陳立文理短期補習班士林甲分班,111士林區文林路342號4樓,28805767,2009/4/1,北市教社字第09831599000號,1,121.9,133.62
1087,6316,臺北市私立青山語文短期補習班站前分班,100中正區忠孝西路1段100號8樓,23142222,2009/4/1,北市教社字第09831239000號,6,109.83,197.32
1088,6315,台灣拓人教育事業股份有限公司附設拓人文理補習班民生分班,105松山區光復北路196號1樓,02-2545-8592,2009/4/1,北市教社字第09831634700號,3,67.57,160.5
1089,6312,臺北市私立聖約翰文理語文短期補習班,112北投區開明街23巷2號1樓及47號1樓,28972577,2009/3/1,北市教社字第09830763000號,4,60.23,157.92
1090,6311,臺北市私立灝學文理短期補習班,106大安區和平東路2段96巷3之1號1樓,27338380,2009/3/26,北市教社字第09831200500號,1,32.87,82.16
1091,6309,台灣拓人教育事業股份有限公司附設拓人文理短期補習班大直分班,104中山區明水路581巷13弄1號1樓,2533-9636,2009/3/1,北市教社字第09830771100號,2,62.82,124
1092,6308,臺北市私立凱斯文理短期補習班天母二分班,111士林區天母西路65之2號2樓,28739666,2009/3/1,北市教社字第09830744600號,3,50.842,86.62
1093,6307,臺北市私立佳一文理短期補習班,104中山區松江路186之1號3樓、4樓,25671004,2009/3/1,9830595300,6,87.31,179.58
1094,6303,臺北市私立佩皮文理語文短期補習班,114內湖區成功路4段61巷37號1樓,27938321,2009/3/1,9830694300,3,45.67,98.55
1095,6302,臺北市私立仁大文理短期補習班大安分班,106大安區安和路1段112巷10號1樓,6613-1303,2009/3/1,北市教社字第09830679500號,3,63.26,119.2
1096,6292,臺北市私立時代國際語文短期補習班館前二分班,100中正區館前路34號8樓,66178688,2009/2/23,9830331600,5,212.5,433.18
1097,6289,財團法人國語日報社附設臺北市私立國語日報運動短期補習班福州分班,100中正區福州街2號11樓,23921133,2009/2/12,北市教社字第9830399200號,2,379.8,756.43
1098,6284,臺北市私立英智文理短期補習班,103大同區寧夏路112之1號2樓,225539333,2009/2/1,9830142500,3,47.01,84.46
1099,6278,臺北市私立愛心樹語文短期補習班,106大安區和平東路2段297號4樓,27005503,2009/1/1,北市教社字第09739275300號,3,84.27,107.5
1100,6277,臺北市私立程果語文短期補習班,114內湖區東湖路119巷50弄18號、20號、22號1樓,26322747,2009/1/1,9830071000,4,73.78,184.68
1101,6270,功學社音樂中心股份有限公司附設臺北市私立衡陽音樂短期補習班第二分班,100中正區博愛路115號5樓,23118701,2009/1/14,北市教社字第9739267100號,14,93.03,155.86
1102,6267,臺北市私立優雅文理才藝短期補習班,110信義區基隆路1段83巷38號1樓,27668336,2009/1/1,9739130800,3,33.5,79.77
1103,6266,臺北市私立得嘉樂文理語文短期補習班,108萬華區德昌街19號(1層),23326368,2009/1/8,9739182800,2,37.68,82.59
1104,5483,台灣知識庫股份有限公司附設臺北市私立大碩文理短期補習班,100中正區開封街1段32號8樓,23314924,2006/1/1,9530347300,1,192.3,195.6
1105,5035,臺北市私立仁大文理珠心算短期補習班,106大安區信義路4段199巷27號1樓、地下1樓、安和路1段112巷7號2樓,6613-1303,2004/11/1,北市教終字第10433274900號,8,145.86,295.35
1106,4430,臺北市私立建翔文理短期補習班,110信義區莊敬路341巷4弄20號1樓,02-27238558,2003/2/1,北市教六字第09230895200號,2,38.74,105.93
1107,2947,臺北市私立商宏文理短期補習班,115南港區忠孝東路6段390號2樓,27857564,1995/9/1,北市教(四)字第47874號,4,56.91,99.48
1108,538,臺北市私立儒林文理短期補習班,100中正區南陽街13之3號1樓、2樓、懷寧街60號7樓、7樓之1、7樓之2、8樓之1、8樓之2、9樓之1,23613266,1990/11/29,58北市教四字第00651號,3,482.17,876.58
1109,7594,五倍紅寶石程式資訊教育股份有限公司附設臺北市私立五倍紅寶石文理技藝短期補習班,100中正區衡陽路7號5樓,2331-5247,2017/2/1,北市教終字第10630966600號,1,49.89,173.27
1110,7589,五感計畫有限公司附設臺北市私立快樂音符文理技藝短期補習班,106大安區仁愛路4段232號3樓,02-27556165,2017/2/7,北市教終字第10630157600號,2,30.54,107.17
1111,7586,臺北市私立鴻碩文教文理短期補習班,106大安區羅斯福路2段41號10樓之1,223675506,2017/1/10,北市教終字第10541978500號,2,69.4,133.99
1112,7585,臺北市私立德易至文理語文短期補習班,108萬華區中華路1段78號11樓,23120390,2016/12/23,北市教終字第10541835000號,1,39.86,77.89
1113,7582,臺北市私立新派文理短期補習班,110信義區永吉路358號1樓,2765-6580,2016/12/19,北市教終字第10541718600號,2,38.34,95.78
1114,7583,臺北市私立現代藝術音樂技藝短期補習班,106大安區和平東路3段38號3樓,27371375,2016/12/15,北市教終字第10541709100號,6,31.66,117.86
1115,7581,臺北市私立十四山村塾文理技藝短期補習班,111士林區天玉街22號1樓,02-28772300,2016/12/12,北市教終字第10541703800號,3,37.9,107.21
1116,7580,臺北市私立吾思文理短期補習班,106大安區瑞安街49之1號及49之1號地下室,2704-9454,2016/12/12,北市教終字第10541619200號,5,44.89,121.42
1117,7573,臺北市私立奧斯卡美術技藝短期補習班,114內湖區大湖山莊街189號1樓,918007881,2016/11/18,北市教終字第10540544600號,2,30.51,92.59
1118,7574,明光文教事業股份有限公司附設臺北市私立明光語文文理短期補習班,111士林區忠誠路2段50巷10號1樓,28356186,2016/11/18,北市教終字第10540518700號,1,38.3,105.11
1119,7575,臺北市私立克里馥文理技藝短期補習班,111士林區延平北路5段117號1樓,28126526,2016/11/24,北市教終字第10540689300號,3,49,95.28
1120,7576,臺北市私立文宏文理短期補習班,105松山區南京東路3段346號12樓、346號12樓之1,27316728,2016/11/24,北市教終字第10540689200號,3,114.05,161.29
1121,7572,臺北市私立展析文理短期補習班,114內湖區內湖路2段346之1號1樓、2層,87926119,2016/11/10,北市教終字第10540461100號,3,43.5,71.38
1122,7567,臺北市私立巧天才文理短期補習班士林分班,111士林區福港街107巷16號2樓,28802380,2016/11/3,北市教終字第10539775800號,4,53.54,90.24
1123,7568,臺北市私立智信文理技藝短期補習班,114內湖區康寧路3段165巷14弄1號2樓,26315726,2016/11/3,北市教終字第10539731100號,6,108.4,221.92
1124,7571,臺北市私立亞霏美術技藝短期補習班,106大安區羅斯福路3段261號7樓,2368-3706,2016/11/7,北市教終字第10540360000號,1,37.35,166.64
1125,7565,劉氏文教事業股份有限公司附設臺北市私立劉氏景美作文文理短期補習班,116文山區羅斯福路6段88號3樓,29311661,2016/11/2,北市教終字第10539694800號,6,89.46,182.03
1126,7566,小樹苗家庭教育股份有限公司附設臺北市私立威斯特屋文理短期補習班,110信義區信安街52號1樓,23787666,2016/11/2,北市教終字第10539767300號,2,30.24,77.73
1127,7563,高點教育科技股份有限公司附設臺北市私立高點文理短期補習班政大分班,116文山區指南路2段53號1樓,2936-1768,2016/10/26,北市教終字第10539582600號,1,46.13,73.99
1128,7561,臺北市私立高登文理短期補習班松德分班,110信義區松德路65號6樓之2,8780-2600,2016/10/24,北市教終字第10539588900號,2,80.11,104.61
1129,7545,百世教育科技股份有限公司附設臺北市私立百世文理短期補習班三民分班,105松山區南京東路5段46之1號2樓,27482766,2016/8/30,北市教終字第10538252500號,5,74.38,120.8
1130,7543,臺北市私立涅槃瑜伽短期補習班,105松山區南京東路4段47號6樓,87122272,2016/8/30,北市教終字第10537571900號,1,75.59,133.04
1131,7551,臺北市私立華冠文理短期補習班,105松山區八德路2段383號3樓,27738879,2016/9/13,北市教終字第10538309800號,3,65.77,122.81
1132,7549,臺北市私立科登文理短期補習班,111士林區文林路434號2樓、3樓、456號1樓及432號2樓,28830258,2016/9/8,北市教終字第10538208200號,13,277.06,422.87
1133,7558,臺北市私立國譽介壽文理短期補習班,105松山區延壽街434號1樓,27477967,2016/10/11,北市教終字第10539473800號,3,40.55,85.25
1134,7546,臺北市私立誠學書房文理短期補習班,100中正區羅斯福路1段28號10樓,2391-0489,2016/8/1,北市教終字第10537569800號,2,30.56,110.54
1135,7557,臺北市私立明德文理短期補習班,112北投區致遠一路1段8號（1層）,960096602,2016/10/6,北市教終字第10538509000號,4,42.9,89.28
1136,7555,小樹苗家庭教育股份有限公司附設臺北市私立檑克屋美語文理短期補習班安和分班,106大安區樂利路5巷14弄2號1樓、5巷15弄5號1樓及5巷16號1樓,2378-2200,2016/9/30,北市教終字第10538476900號,5,143.34,173.35
1137,7554,臺北市私立恩美瑞美語文理短期補習班,112北投區榮華三路7號1樓及地下1樓,2823-8668,2016/9/29,北市教終字第10538420000號,5,65.83,170.74
1138,7553,臺北市私立贏家文理短期補習班,110信義區松德路26號4樓、10號1樓及2樓,8786-9817,2016/9/21,北市教終字第10538367800號,5,94.47,154.07
1139,7550,臺北市私立滿冠文理短期補習班,106大安區信義路3段190號2樓,2784-4036,2016/9/13,北市教終字第10538309900號,2,69.29,130.54
1140,7548,臺北市私立轉角美學藝術空間技藝短期補習班,112北投區懷德街71號1樓,2823-6946,2016/9/6,北市教終字第10538196000號,2,47.11,84.8
1141,7547,臺北市私立知多星文理短期補習班松德分班,110信義區松德路94號地下1層、1層及2層,8789-8588,2016/9/5,北市教終字第10538169300號,4,53.38,146.61
1142,7542,臺北市私立彩虹樹藝術空間技藝短期補習班,105松山區延壽街330巷8弄5號1樓,27420553,2016/8/29,北市教終字第10537519200號,4,58.88,124.39
1143,7538,臺北市私立力捷文理技藝短期補習班,114內湖區東湖路43巷30號1樓,26337587,2016/8/24,北市教終字第10537500300號,5,51.77,88.46
1144,7540,臺北市私立泰瑞沙文理短期補習班,112北投區文化三路10號1樓,28923111,2016/8/24,北市教終字第10537563000號,3,51.55,97.94
1145,7541,臺北市私立頂點方程文理短期補習班,106大安區信義路3段188號5樓,27036606,2016/8/24,北市教終字第10537553200號,7,82.88,126.89
1146,7535,臺北市私立鼎業文理短期補習班,103大同區承德路2段81號1樓、2樓,25526667,2016/8/1,北市教終字第10536230400號,3,53.38,109.47
1147,7536,臺北市私立原科學文理短期補習班,110信義區光復南路419號3樓,8780-8805,2016/8/10,北市教終字第10536391400號,4,65.17,116.68
1148,7530,大樹國際文化企業股份有限公司附設臺北市私立大樹新生語文短期補習班,106大安區新生南路2段70巷4號1樓,277557500,2016/8/2,北市教終字第10536084900號函,3,49.77,101.9
1149,7534,臺北市私立艾美英語文理短期補習班興隆分班,116文山區興隆路4段6之6號（1樓、2樓）,2936-9080,2016/8/1,北市教終字第10536289200號,4,71.58,161.41
1150,7533,臺北市私立向善語言短期補習班,100中正區青島西路11號4樓之3,23145100,2016/7/26,北市教終字第10536359100號,4,55.13,101.19
1151,7527,蘋果芽數位科技股份有限公司附設臺北市私立橘子蘋果程式設計電腦文理短期補習班,100中正區羅斯福路2段70號6樓之3、6樓之4,02-7709-8229,2016/7/13,北市教終字第10536065200號,3,73.79,147.91
1152,7531,臺北市私立天水文理技藝短期補習班,100中正區杭州南路1段14巷13號1樓,23972426,2016/7/15,10536152700,3,35.12,85.43
1153,7528,學旅文創有限公司附設臺北市私立舞動世界民權舞蹈短期補習班,104中山區民權東路2段26號3樓之3,25641580,2016/7/12,北市教終字第10536038200號,1,45.47,88.44
1154,7524,臺北市私立桀特文理短期補習班,111士林區天母西路46之4號1樓、2樓,28760272,2015/7/1,北市教終字第10534822300號,5,96.18,196.96
1155,7519,吉的堡網路科技股份有限公司附設臺北市私立英格文理技藝短期補習班,114內湖區金湖路403號2樓,02-26336369,2016/6/28,北市教終字第10534812300號,7,108.77,192.14
1156,7517,臺北市私立經硯文理短期補習班,105松山區三民路18號1樓、2樓及2樓之1,27611189,2015/6/16,北市教終字第10534738000號,4,79.94,180.12
1157,7526,美加文化實業股份有限公司附設臺北市私立放學窩文理技藝短期補習班幸安分班,106大安區新生南路1段139巷8號1樓,(02)2706-0002,2016/7/5,北市教終字第10536042600號,3,55.99,82.58
1158,7525,臺北市私立西亞特文理技藝短期補習班,106大安區光復南路240巷3號2樓,2778-7785,2016/7/5,北市教終字第10534849800號,4,85.16,140.26
1159,7522,國際蒙特梭利教育事業股份有限公司附設臺北市私立國際課程文理短期補習班,112北投區光明路226之2號1樓,2894-1994,2016/7/4,北市教終字第10534812500號,3,35.89,76.55
1160,7521,臺北市私立天爖文理短期補習班景美分班,116文山區一壽街60號1樓,2234-5460,2016/6/29,北市教終字第10534813900號,3,89.08,131.97
1161,7520,菁英美語股份有限公司附設臺北市私立亞當菁英美語文理短期補習班,106大安區安和路1段137號4樓,227366829,2016/6/28,北市教終字第10534769100號,4,69.77,138.68
1162,7518,概思文化有限公司附設臺北市私立概思語文短期補習班,111士林區中山北路6段776巷78號1樓,2872-7367,2016/6/27,北市教終字第10534749800號,2,32.23,79.91
1163,7515,臺北市私立文城周杰文理短期補習班,116文山區景中街1號5樓,(02)8935-1887,2016/6/15,北市教終字第10534637900號,3,141.6,189.07
1164,7309,臺北市私立中正伯樂文理技藝短期補習班,100中正區金華街19號2樓,(02)3322-1522,2014/9/30,北市教終字第10337457400號,3,72.37,98.01
1165,7513,臺北市私立學風文理短期補習班,106大安區復興南路2段125巷31號1樓,27015059,2016/6/3,北市教終字第10534573500號,3,39.79,88.04
1166,7512,臺北市私立元善文理短期補習班,116文山區景豐街5號1樓,29316186,2016/5/27,北市教終字第10534491700號,3,51.48,88.49
1167,7508,臺北市私立艾司樂文理短期補習班,104中山區明水路397巷7弄61號、475巷17號1樓,25322393,2016/5/24,北市教終字第10534522700號,6,83.41,167.22
1168,7507,臺北市私立電哥英文文理短期補習班,104中山區明水路397巷7弄36號1樓及地下1樓,25333520,2016/5/16,北市教終字第10533619600號,7,110.69,178.89
1169,7509,英協文教有限公司附設臺北市私立信義文理短期補習班,110信義區信義路5段106號2樓之1、106號2樓之2,02-87221008,2016/5/23,北市教終字第10534520900號,8,225.72,464.78
1170,7505,明光文教事業股份有限公司附設臺北市私立明翰文理語文短期補習班,105松山區延壽街352號1樓,27611276,2016/5/11,北市教終字第10533548800號,4,52.38,85.7
1171,7504,臺北市私立愛因斯坦文理短期補習班,105松山區南京東路5段251巷24弄4號1樓,27488001,2016/4/25,北市教終字第10532696000號,3,69.59,108.39
1172,7503,臺北市私立誠時刻技藝短期補習班,104中山區復興北路78號6樓,918362954,2016/4/22,北市教終字第10532676000號,2,66.74,127.92
1173,7502,美好國際企業管理顧問有限公司附設臺北市私立美好國際語文短期補習班仁愛分班,106大安區復興南路1段227號3樓之2,87736828,2016/4/7,北市教終字第10532495900號,1,59.21,128.29
1174,7500,臺北市私立嘉允文理語文短期補習班,110信義區忠孝東路5段743巷29之1號2樓,(02)8785-2272,2016/3/29,北市教終字第10532380300號,4,69.94,127.4
1175,7498,臺北市私立法布立卡美術短期補習班,106大安區信義路3段188號9樓,905066260,2016/3/25,北市教終字第10531421900號,4,76.18,126.7
1176,7497,臺北市私立宏觀美術短期補習班忠孝分班,106大安區復興南路1段137號6樓之1,87738769,2016/3/23,北市教社字第10531391100號,3,63.3,118.4
1177,7492,臺北市私立亞曼瑞舞蹈技藝短期補習班,106大安區忠孝東路4段293號9樓,27733875,2016/3/17,北市教終字第10531200400號,1,241.09,284.49
1178,7495,臺北市私立聖立安文理技藝短期補習班,110信義區忠孝東路5段236巷20弄10號1樓,87890933,2016/3/16,北市教終字第10531296200號,4,51.07,89.86
1179,7494,臺北市私立艾爾城堡文理短期補習班,116文山區羅斯福路6段274號2樓,29310026,2016/3/16,北市教終字第10531296300號,3,65.21,113.79
1180,7493,臺北市私立高明一對一文理短期補習班松山分班,105松山區南京東路5段206號2樓,27480123,2016/3/14,北市教終字第10531263900號,8,81.86,161.23
1181,7486,臺北市私立智勝文理短期補習班,104中山區明水路397巷7弄51號1樓,85098886,2016/2/17,北市教終字第10530269100號,4,79.87,121.33
1182,7471,財團法人華岡興業基金會附設臺北市私立華岡文大商業語文技藝短期補習班,106大安區信義路4段1號3樓.3樓之1 3樓之2 3樓之9,77285700,2016/1/19,北市教終字第10441956000號,7,290.59,582.45
1183,7468,臺北市私立大安畫苑美術短期補習班,106大安區嘉興街323巷4號1樓,87328978,2016/1/12,北市教終字第10442931600號,1,58.52,83.62
1184,7487,臺北市私立蘭雅文理短期補習班,111士林區忠誠路2段66號1樓、2樓,02-2838-2512,2016/2/18,北市教終字第10530319400號,5,102.21,193.65
1185,7480,臺北市私立松青文理短期補習班,103大同區重慶北路3段137巷7號2樓,25962305,2016/1/27,北市教終字第10530104600號,2,42.08,93.17
1186,7479,臺北市私立承易文理短期補習班,105松山區八德路3段27號7樓之1,25709955,2016/1/27,北市教終字第10530234000號,3,57.45,127.4
1187,7475,臺北市私立領學文理短期補習班,103大同區歸綏街128號1樓、130號1樓、寧夏路84號2樓,25578845,2016/1/22,北市教終字第10530185400號,7,107.34,165.51
1188,7470,臺北市私立呂方文理短期補習班,105松山區八德路3段150號2樓,25792549,2016/1/12,北市教終字第10442902500號,3,38.18,83.91
1189,7481,臺北市私立狀元文理短期補習班,100中正區信義路1段5之4號2樓,23915586,2016/1/29,北市教終字第10530128800號,3,63.02,102.22
1190,7482,臺北市私立小藝坊技藝文理短期補習班,116文山區景華街180號1樓,29332386,2016/1/30,北市教終字第10530281100號,2,34.74,79.57
1191,6880,問禮有限公司附設臺北市私立時習文理短期補習班,103大同區民族西路210、212號2樓,25851844,2011/10/17,北市教社字第10039452700號,4,72.79,193.98
1192,7476,臺北市私立金師文理補習班,116文山區羅斯福路5段59號1樓,29306998,2016/1/25,北市教終字第10530087700號,2,41.72,91.9
1193,7282,創羽國際動漫股份有限公司附設臺北市私立創羽動漫技藝文理短期補習班,100中正區館前路43號7樓,23113767,2014/7/16,北市教終字第10334262300號,5,220.71,367.75
1194,7465,臺北市私立信成文理短期補習班,111士林區士東路286巷3弄4號1樓,28360056,2015/12/28,北市教終字第10441955600號,4,52.22,90.79
1195,7460,臺北市私立忠義文理短期補習班,111士林區士東路46巷47號1樓,28350929,2015/12/14,北市教終字第10441726800號,2,53.82,79.81
1196,7466,劉氏文教事業股份有限公司附設臺北市私立劉氏光復作文文理技藝短期補習班,105松山區光復北路102號2樓,25778512,2015/12/31,北市教終字第10441983500號,2,78.59,195.78
1197,7464,臺北市私立兔馬技藝短期補習班,105松山區長安東路2段294號11樓及11樓之1,27710115,2015/12/15,北市教終字第1041777500號,2,91.44,178.18
1198,7463,臺北市私立有欣語文短期補習班,114內湖區內湖路2段148號(2樓)、 148之1號(2樓),26577919,2015/12/15,北市教終字第10441825000號,3,101.91,186.51
1199,7462,臺北市私立全腦精英文理短期補習班碧湖分班,114內湖區金龍路146號1樓、144號1樓,87912528,2015/12/15,北市教終字第10441824900號,8,104.5,175.81
1200,7457,臺北市私立豐立文理短期補習班,103大同區民生西路272號2樓,25508318,2015/12/3,北市教終字第10441650700號,5,164.12,309.44
